NGDC_Ship,NGDC_Cruise,NGDC_Sample,NGDC_Serial,NGDC_Comment,Location,Location Type,Expedition,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,Google Earth Comment Field,serial,,
unknown,MNCL,MNCL-1CW08-1A,1,Country: USA / State/Province: Minnesota / County/Region: Hubbard,1st Crow Wing Lake,lake,MNCL,1CW,1,A,1A,1st Crow Wing,MNCL-1CW08-1A,unknown,20080513,4.95,USA,Minnesota,Hubbard,"Mark Edlund, Joy Ramstack",46.83135,-94.84695,419,exact (read from GPS),SCWRS,SCWRS,core,,0.57,2.09,PI,LacCoreID: MNCL-1CW08-1A / FieldID: 1st Crow Wing / Date: 2008-05-13 / Water Depth: 4.95m / Sediment Depth: 0.57-2.09m / Position: exact (read from GPS) / Sample Type: core,2620,,4064
ice,SPA,SPA-3LOO09-1A,2,Country: USA / State/Province: Alaska / County/Region: Nome,3 Loon,lake,SPA,3LOO,1,A,1A,,SPA-3LOO09-1A,ice,20090410,5.75,USA,Alaska,Nome,Katey Walter,66.495611,-164.251794,45,exact (read from GPS),University of Alaska Fairbanks,LacCore_MRPH,core,,0,0.88,PI,LacCoreID: SPA-3LOO09-1A / FieldID:  / Date: 2009-04-10 / Water Depth: 5.75m / Sediment Depth: 0-0.88m / Position: exact (read from GPS) / Sample Type: core,3354,,3308
ice,SPA,SPA-3LOO09-2A,3,Country: USA / State/Province: Alaska / County/Region: Nome,3 Loon,lake,SPA,3LOO,2,A,2A,,SPA-3LOO09-2A,ice,20090410,5.75,USA,Alaska,Nome,Katey Walter,66.495611,-164.251794,45,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.315,PI,LacCoreID: SPA-3LOO09-2A / FieldID:  / Date: 2009-04-10 / Water Depth: 5.75m / Sediment Depth: 0-1.315m / Position: exact (read from GPS) / Sample Type: core,3355,,3309
unknown,OJB,OJB-KET07-1A,4,Country: Canada / State/Province: Ontario / County/Region: ,652 Kettle Lake,lake,OJB,KET,1,A,1A,K07-1,OJB-KET07-1A,unknown,20071231,9.9,Canada,Ontario,,Andy Breckenridge,49.57418,-80.43858,301,exact (read from GPS),University of Cinncinnati,LacCore_Como,core,,12,18,PI,LacCoreID: OJB-KET07-1A / FieldID: K07-1 / Date: 2007-12-31 / Water Depth: 9.9m / Sediment Depth: 12-18m / Position: exact (read from GPS) / Sample Type: core,2866,,529
unknown,OJB,OJB-KET07-1B,5,Country: Canada / State/Province: Ontario / County/Region: ,652 Kettle Lake,lake,OJB,KET,1,B,1B,K07-2,OJB-KET07-1B,unknown,20071231,9.9,Canada,Ontario,,Andy Breckenridge,49.57418,-80.43858,301,exact (read from GPS),University of Cinncinnati,LacCore_Como,core,,15,16,PI,LacCoreID: OJB-KET07-1B / FieldID: K07-2 / Date: 2007-12-31 / Water Depth: 9.9m / Sediment Depth: 15-16m / Position: exact (read from GPS) / Sample Type: core,2867,,530
unknown,MNCL,MNCL-8CW08-1A,6,Country: USA / State/Province: Minnesota / County/Region: Hubbard,8th Crow Wing Lake,lake,MNCL,8CW,1,A,1A,8th Crow Wing,MNCL-8CW08-1A,unknown,20080513,7.64,USA,Minnesota,Hubbard,"Mark Edlund, Joy Ramstack",46.95408333,-94.79918333,423,exact (read from GPS),SCWRS,SCWRS,core,,0.45,1.97,PI,LacCoreID: MNCL-8CW08-1A / FieldID: 8th Crow Wing / Date: 2008-05-13 / Water Depth: 7.64m / Sediment Depth: 0.45-1.97m / Position: exact (read from GPS) / Sample Type: core,2621,,4065
unknown,43,43-194xx-1A,7,Country: USA / State/Province: Michigan / County/Region: Alger,Ackerman Lake,lake,43,194,1,A,1A,19664,43-194xx-1A,unknown,,14,USA,Michigan,Alger,"Margaret Davis, Kerry Woods",46.331463,-86.79797,282,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,0,1.75,"Bell, Publication",LacCoreID: 43-194xx-1A / FieldID: 19664 / Date:  / Water Depth: 14m / Sediment Depth: 0-1.75m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,134,,3820
ice,WISP,WISP-ADV04-1A,8,Country: USA / State/Province: Wisconsin / County/Region: Washburn,Adventure Lake,lake,WISP,ADV,1,A,1A,Adventure,WISP-ADV04-1A,ice,20041231,,USA,Wisconsin,Washburn,Randy Calcote,46.09,-91.94,302,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: WISP-ADV04-1A / FieldID: Adventure / Date: 2004-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,3738,,4755
unknown,TDF,TDF-AGB05-1A,9,Country: Argentina / State/Province: Patagonia / County/Region: ,Aguas Blancas,lake,TDF,AGB,1,A,1A,Aguas Blancas,TDF-AGB05-1A,unknown,20051231,,Argentina,Patagonia,,Kevin Theissen,-54.62818,-67.24581,220,approximate (location/coordinates identified on a map),LacCore_Como,LacCore_Como,core,,,,PI,LacCoreID: TDF-AGB05-1A / FieldID: Aguas Blancas / Date: 2005-12-31 / Water Depth: m / Sediment Depth: -m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,3557,,3542
ground,AZ3,AZ3-AZ06-1A,10,Country: Jordan / State/Province:  / County/Region: ,Al Azraq basin,paleolake,AZ3,AZ,1,A,1A,,AZ3-AZ06-1A,ground,20061231,0,Jordan,,,Molly Davies,31.80498,36.86545,506,approximate (location/coordinates identified on a map),U.MO-Kansas City,U.MO-Kansas City,core,,33,57,PI,LacCoreID: AZ3-AZ06-1A / FieldID:  / Date: 2006-12-31 / Water Depth: 0m / Sediment Depth: 33-57m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,394,,4405
