"PROJECT ID","LOCATION","NAMED FEATURE","INVESTIGATOR"
"13","USA,Alaska","Dune Lake","Bruce Finney"
"17","USA,North Dakota","Coldwater Lake","Emi Ito,Dan Engstrom"
"20","USA,Wisconsin","Bohnes Lake,Camp Lake,Capitola Lake","Margaret Davis"
"22","USA,Minnesota","Elk Lake","Emi Ito"
"24","USA,Alaska","Farewell Lake","Feng Sheng Hu"
"26","Equador,Azuay","Chorreras Valley","Geoff Seltzer"
"27","USA,Michigan","Jay lake","Holly Ewing"
"29","USA,Pennsylvania","Ely Lake","Kenneth Kodama"
"3","USA,Minnesota","Campbell Lake","Amy Myrbo et al"
"32","USA,Minnesota","Big Watab Lake","Lora Stevens"
"35","USA,Minnesota","Cass Lake","Phil Larson,Howard Mooers"
"37","USA,Hawaii","Kannu O Kaleioohie","Sara Hotchkiss"
"38","USA,Hawaii","Kaau Crater","Sara Hotchkiss,James Juvik"
"39","USA,North Dakota","Devils Lake","Sara Mueller"
"4","USA,Minnesota","Deming Lake","Andy Breckenridge,Tom Johnson"
"40","Norway","Hornsund","Joel Kostka"
"41","USA,Montana","Crevice Lake","Lora Stevens,Sheri Fritz,Brandi Bracht"
"43","USA,Michigan,Wisconsin","Ackerman Lake,Beaver Lake,Blue Indian Lake,Brampton Lake,Brandt's Lake,Canyon Lake,Hemlock Ravine,Hody's Bog,Hoglund Lake,Hughes Lake,Kitchner Lake,Kroening Lake","Kerry Woods,Margaret Davis"
"44","USA,Minnesota","Albert Lea Lake",""
"46","USA,Montana","Beaver Lake",""
"47","Canada,Quebec","Lac Rond",""
"ABBA","USA,New York,Vermont","Amherst Lake,Beebe Pond,Chapel Pond,Duck Pond,Echo Lake,Emerald Pond","Anders Noren,Paul Bierman,Andrea Lini"
"ABS","USA,Michigan","Allegan Bog","Ed Hansen"
"ADI","Switzerland,Sankt Gallen","Hinterer Schwendisee","Adi Gilli,Flavio Anselmetti"
"AHVC","Argentina,Mendoza,Neuguen","El Sosneado Lake,Huala Hué Lake","Cathy Whitlock,Virginia Iglesias"
"AHVC2","Argentina,Chubut","La Zeta Lake","Cathy Whitlock,Virginia Iglesias"
"AK","USA,Alaska","Blue Lake,Faraway Lake","Mark Abbott,Broxton Bird"
"ALCOVE","USA,Minnesota,Wisconsin","Bass Lake,Big Lake,Chetek Lake,Crooked Lake,Crosby Lake,Eagle Lake,Goodners Lake,Island Lake","Kate Pound"
"ALE","USA,Alaska","E1,Fog Lake 2,Fog Lake 3,GTH 86,GTH 91","Howard Mooers,Heidi Rantala"
"AQABA","Jordan,USA","Aqaba","Molly Davies,Alivia Allison"
"ATAC","Chile,Arica y Parinacota","Lago Chungara","Blas Valero-Garcés,Martin Grosjean,Kerry Kelts,Bruno Messerli"
"AUGIE","USA,Montana","Flathead Lake","Craig Spencer"
"AV","USA,New Mexico","Alamo Fen","Craig Allen"
"AZ3","Jordan","Al Azraq basin","Molly Davies"
"BAF","Canada,Nunavut","Chisel Lake,Cool Hand Lake","Rebecca Anderson"
"BARR","USA,Minnesota ","Battle Creek Lake","Joy Ramstack"
"BER","USA,Wisconsin","Berry Lake","Samantha Kaplan"
"BMW","USA,South Dakota","Bitter Lake,Enemy Swim Lake","Antje Schwalb"
"BOB","USA,Wisconsin","Hornet Bog","Bob Booth"
"BR1","USA,Montana","Brush Lake","Eric Grimm"
"BR2","USA,Montana","Brush Lake","Eric Grimm"
"BR3","USA,Montana","Brush Lake","Eric Grimm"
"BRR","USA,Wisconsin","Indian Head Reservior","Kelly MacGreggor"
"BRW","USA,Illiinois","Brewster Creek","Eric Grimm,Brandon Curry"
"BS2","USA,Minnesota,South Dakota","Barrett lake,Big Stone lake","Tom Lowell"
"BYTH","USA,Minnesota","Island Lake Reservoir","Donn Branstrator"
"CAR","Canada,Manitoba","Duck Lake,Grassy Wetland","Andy Breckenridge"
"CHALCO","Mexico,Tulyehualco","Lake Chalco","Socorro Loranzo,Magarita Caballero,Beatriz Ortega"
"CHI","China,Qinghai","Hurleg Hu","Emi Ito,Xicheng YU"
"CHILE","Chile","Lago Encanado","Kerry Kelts,Blas Valero-Garces,Bettina Jenny,Rodrigo Villa-Martínez"
"CHUN","Chile,Arica y Parinacota","Lago Chungara","Blas Valero-Garces"
"CIP","USA,Alaska","Big Lake Bog 1408,Blackwater Bend","Paul Glaser,Mike Gracz"
"CLAC","Canada,Alberta","Hector Lake","Marc Parisien,Roger Byrne"
"CLO1","USA,Oregon","Anthony Lake","Colin Long"
"CLW2","USA,Minnesota","Brownie Lake","Amy Myrbo"
"COLO","USA,Colorado","Emerald Lake,Hidden Lake","Bryan Shuman"
"COOL","USA,Colorado,Idaho,Montana,New Mexico,Oregon,Wyoming","Alkali Lake,Andrew's Lake,Beaver Pond,Betty Lake,Big Therriault Lake,Brooklyn Lake,Brundage Reservoir,Clackamas Lake,Dark Lake,Deadwood Reservoir,Duck Lake,Eagle Nest Lake,Echo Lake,Fish Lake,Foy Lake,Frog Lake,Gold Lake,Granite Lake,Gravel Lake,Grinnell Lake,Halfmoon Lake,Haviland Lake,Hidden Lake,Hidden Lake #2,Hidden Lake #3,Hopewell Lake,Ivanhoe Lake","Anna Henderson"
"CRA","Canada,Ontario","Crawford Lake","Jane Teranes,Chad Whittkip,Erik Ekdahl"
"CRAD","USA,California","Crooked Meadow","Sidney Hemming,Wally Broecker"
